,nama,link,harga,img,kota,terjual
0,Kaca mata anti radiasi / Kacamata Wanita Pria Frame Anti Radiasi Transparan impor Kacamata korea,https://shopee.co.id/Kaca-mata-anti-radiasi-Kacamata-Wanita-Pria-Frame-Anti-Radiasi-Transparan-impor-Kacamata-korea-i.84976950.4052708088?sp_atk=e0cfb543-22cd-41e3-8644-a536b6b37724&xptdk=e0cfb543-22cd-41e3-8644-a536b6b37724,Rp3.680,https://down-id.img.susercontent.com/file/c52dde2c01a792d1b8d7b034b2a48417_tn,KOTA JAKARTA BARAT,10RB+ Terjual
1,Gelang Inisial Glow In The Dark Model Simpul / Gelang Menyala Dalam Gelap,https://shopee.co.id/Gelang-Inisial-Glow-In-The-Dark-Model-Simpul-Gelang-Menyala-Dalam-Gelap-i.745696315.12891841420?sp_atk=5041cbd2-e16c-4b5b-9f15-89664676d9ed&xptdk=5041cbd2-e16c-4b5b-9f15-89664676d9ed,Rp1.800,https://down-id.img.susercontent.com/file/417f652b210025e54574e6f28fc2abd1_tn,KAB. GARUT,10RB+ Terjual
2,ED - JEPITAN RAMBUT KOREA DOFF ORIGINAL / JEDAI SALON MATTE DOFF KOREA ORIGINAL,https://shopee.co.id/ED-JEPITAN-RAMBUT-KOREA-DOFF-ORIGINAL-JEDAI-SALON-MATTE-DOFF-KOREA-ORIGINAL-i.363102513.21840155277?sp_atk=155fa4ff-68dc-4cd0-8cef-c568487473a2&xptdk=155fa4ff-68dc-4cd0-8cef-c568487473a2,Rp4.494 - Rp4.830,https://down-id.img.susercontent.com/file/16019f28e0a957c06a7680381e3b052b_tn,KOTA JAKARTA UTARA,10RB+ Terjual
3,Topi Baseball Polocaps - Metal Cream - Terbaru Bordir Update 2022,https://shopee.co.id/Topi-Baseball-Polocaps-Metal-Cream-Terbaru-Bordir-Update-2022-i.279600524.20454276070?sp_atk=13397b44-9a8b-421f-b0b4-1e7e64417f2f&xptdk=13397b44-9a8b-421f-b0b4-1e7e64417f2f,Rp1.295 - Rp8.999,https://down-id.img.susercontent.com/file/3e577d5fa88515e90f7f431255010407_tn,KAB. BANDUNG,10RB+ Terjual
4,Kacamata Anti Radiasi Bentuk Bulat Bahan Metal Gaya Korea Untuk Pria Dan Wanita,https://shopee.co.id/Kacamata-Anti-Radiasi-Bentuk-Bulat-Bahan-Metal-Gaya-Korea-Untuk-Pria-Dan-Wanita-i.439043181.12678820416?sp_atk=c3c4a405-72f0-46a2-8f8d-2bb18b749637&xptdk=c3c4a405-72f0-46a2-8f8d-2bb18b749637,Rp23.936 - Rp26.669,https://down-id.img.susercontent.com/file/6a98ba18844641b60a29748795150fab_tn,Luar Negeri,10RB+ Terjual
5,COD Gelang Titaniun Perak Berbentuk Hati Rantai Gelang Tangan Wanita Bunga Bintang Liontin Korea Fashion Gelang Wanita,https://shopee.co.id/COD-Gelang-Titaniun-Perak-Berbentuk-Hati-Rantai-Gelang-Tangan-Wanita-Bunga-Bintang-Liontin-Korea-Fashion-Gelang-Wanita-i.512468185.13029703135?sp_atk=3f7659fe-32e7-4bd8-ab18-353b4c336bae&xptdk=3f7659fe-32e7-4bd8-ab18-353b4c336bae,Rp2.999 - Rp9.999,https://down-id.img.susercontent.com/file/d223e7d9f6f5d1c0a4261b9afd455a5c_tn,,10RB+ Terjual
6,kalung titanium model gepeng silver anti karat dan tidak pudar,https://shopee.co.id/kalung-titanium-model-gepeng-silver-anti-karat-dan-tidak-pudar-i.332427600.8901473747?sp_atk=cc0d4af5-cd07-4634-8779-95a630ececd7&xptdk=cc0d4af5-cd07-4634-8779-95a630ececd7,Rp5.999 - Rp11.500,https://down-id.img.susercontent.com/file/e7e8b3586c5115b52e8b07d98e946604_tn,KAB. BOGOR,10RB+ Terjual
7,Anting Stud Kristal Berlian Bahan Titanium Steel S925 Warna Emas Gaya Korea Untuk Wanita,https://shopee.co.id/Anting-Stud-Kristal-Berlian-Bahan-Titanium-Steel-S925-Warna-Emas-Gaya-Korea-Untuk-Wanita-i.219243032.17039939863?sp_atk=e6221937-a18f-4d03-b8fe-a7de1340c021&xptdk=e6221937-a18f-4d03-b8fe-a7de1340c021,Rp12.198,https://down-id.img.susercontent.com/file/ee11af39fbf952e30c480fcbe65389f5_tn,Luar Negeri,10RB+ Terjual
8,kacamata Leopard Cat Eye Anti Radiasi hp dan komputer Wanita Pria Korea Retro Murah Cwek Gaya  Glasses G,https://shopee.co.id/kacamata-Leopard-Cat-Eye-Anti-Radiasi-hp-dan-komputer-Wanita-Pria-Korea-Retro-Murah-Cwek-Gaya-Glasses-G-i.468417159.17236036046?sp_atk=060f6c59-d411-4e64-94f5-a2925c1374a5&xptdk=060f6c59-d411-4e64-94f5-a2925c1374a5,Rp5.999,https://down-id.img.susercontent.com/file/0298e19bd817264f501d9e2d58fbc8a6_tn,,10RB+ Terjual
9,Topi Pria Keren Original Murah kasual Distro Baseball Terbaru Korea/Topi Original Import Pria/Wanita,https://shopee.co.id/Topi-Pria-Keren-Original-Murah-kasual-Distro-Baseball-Terbaru-Korea-Topi-Original-Import-Pria-Wanita-i.387679135.9885713198?sp_atk=501ceb83-b3d8-410f-bc7e-e64b35a4780c&xptdk=501ceb83-b3d8-410f-bc7e-e64b35a4780c,Rp8.255 - Rp17.000,https://down-id.img.susercontent.com/file/d06a7fcf8161881d18a5422a702f1ad0_tn,KOTA JAKARTA SELATAN,10RB+ Terjual
