,nama,link,harga,img,kota,terjual
0,"[0.00~-8.00] Softlens Minus 14.5MM,  Soflens Minus Hitam, Softlens Mata Normal,  Lensa Kontak Warna Alami, Soflens Murah Hitam Lensa Warna, Softlens Minus",https://shopee.co.id/-0.00~-8.00-Softlens-Minus-14.5MM-Soflens-Minus-Hitam-Softlens-Mata-Normal-Lensa-Kontak-Warna-Alami-Soflens-Murah-Hitam-Lensa-Warna-Softlens-Minus-i.448966379.6691638772?sp_atk=8c1d6bc9-a993-49e8-a3f5-cfd80a378e81&xptdk=8c1d6bc9-a993-49e8-a3f5-cfd80a378e81,Rp26.800 - Rp29.800,https://down-id.img.susercontent.com/file/id-11134207-7qul3-lg4mb2euzje0f1_tn,KOTA JAKARTA BARAT,10RB+ Terjual
1,OSM JKT F5165 Ikat Rambut Korea Polos Warna Warni / Karet Ikat Rambut Cepol / Kuncir Rambut Import,https://shopee.co.id/OSM-JKT-F5165-Ikat-Rambut-Korea-Polos-Warna-Warni-Karet-Ikat-Rambut-Cepol-Kuncir-Rambut-Import-i.231799972.6292157580?sp_atk=2943b113-0a33-460a-8149-8df112c0c3ef&xptdk=2943b113-0a33-460a-8149-8df112c0c3ef,Rp1.488,https://down-id.img.susercontent.com/file/78fc0bc996efbb788e64fee20122b97a_tn,KAB. TANGERANG,10RB+ Terjual
2,[PROMO] Kacamata Photocromic Korea / Lensa Photocromic Blue Ray Radiasi Korea Wanita,https://shopee.co.id/-PROMO-Kacamata-Photocromic-Korea-Lensa-Photocromic-Blue-Ray-Radiasi-Korea-Wanita-i.28824240.8767531499?sp_atk=cc06ea2a-015e-49c4-94c7-f43c885dcefb&xptdk=cc06ea2a-015e-49c4-94c7-f43c885dcefb,Rp9.999 - Rp11.300,https://down-id.img.susercontent.com/file/85f0c0d27e46f6be072fdcf315166a36_tn,KOTA TANGERANG,10RB+ Terjual
3,Bros Kristal /Bros dagu/bros warna warni / bross crystal / bross,https://shopee.co.id/Bros-Kristal-Bros-dagu-bros-warna-warni-bross-crystal-bross-i.69378570.13339679550?sp_atk=fbdab986-4545-458a-ba20-94e123564b56&xptdk=fbdab986-4545-458a-ba20-94e123564b56,Rp2.500 - Rp2.900,https://down-id.img.susercontent.com/file/sg-11134201-23010-mvqbirzog1lv4d_tn,KOTA SURABAYA,10RB+ Terjual
4,Ikat Pinggang Mutiara Wanita Korea Gesper  Rantai Mutiara Wanita Pinggang Gesper Sabuk Gaun Terbaru dan termurah,https://shopee.co.id/Ikat-Pinggang-Mutiara-Wanita-Korea-Gesper-Rantai-Mutiara-Wanita-Pinggang-Gesper-Sabuk-Gaun-Terbaru-dan-termurah-i.711544477.19134029857?sp_atk=2b93225f-a25b-4fe4-8780-946d1e100fdd&xptdk=2b93225f-a25b-4fe4-8780-946d1e100fdd,Rp12.475 - Rp15.000,https://down-id.img.susercontent.com/file/id-11134207-7qul1-lg2pdw7h7ukf57_tn,KAB. TANGERANG,10RB+ Terjual
5,Jedai Doff 5cm Pilih Warna Jepit Rambut Matte Cakar 4 Jepit Ponytail Hair Claw Clips,https://shopee.co.id/Jedai-Doff-5cm-Pilih-Warna-Jepit-Rambut-Matte-Cakar-4-Jepit-Ponytail-Hair-Claw-Clips-i.81920878.11563618323?sp_atk=ef089d55-7e98-4f6c-a82e-754863c0c471&xptdk=ef089d55-7e98-4f6c-a82e-754863c0c471,Rp1.000,https://down-id.img.susercontent.com/file/d2a3c22396d31f0dbc1fa97b5cd552c4_tn,KOTA JAKARTA BARAT,10RB+ Terjual
6,Cairan Pembersih Kacamata  Pembersih Lensa  Kacamata Lens cleaner Kacamata Layar Hp Termurah,https://shopee.co.id/Cairan-Pembersih-Kacamata-Pembersih-Lensa-Kacamata-Lens-cleaner-Kacamata-Layar-Hp-Termurah-i.45731173.5092441156?sp_atk=6da4b038-593b-455e-a43d-621ad7e179fd&xptdk=6da4b038-593b-455e-a43d-621ad7e179fd,Rp4.900 - Rp24.000,https://down-id.img.susercontent.com/file/d316ff881e8d889fb662dce334469032_tn,KOTA JAKARTA UTARA,10RB+ Terjual
7,SOFTLENS NEW MORE DUBAI 14.5MM,https://shopee.co.id/SOFTLENS-NEW-MORE-DUBAI-14.5MM-i.3891529.1706022609?sp_atk=0fef85cb-0d61-4391-80f6-acd52bf4eda2&xptdk=0fef85cb-0d61-4391-80f6-acd52bf4eda2,Rp23.000,https://down-id.img.susercontent.com/file/6dd828cec16339bd2e0041086a7b06fb_tn,KOTA JAKARTA SELATAN,10RB+ Terjual
8,CINCIN INISIAL CINCIN CUSTOM NAMA TALI KOREA,https://shopee.co.id/CINCIN-INISIAL-CINCIN-CUSTOM-NAMA-TALI-KOREA-i.11839075.13262772622?sp_atk=ccf89a2d-e7dc-4144-8a2e-bd8c9e425332&xptdk=ccf89a2d-e7dc-4144-8a2e-bd8c9e425332,Rp1.450 - Rp1.600,https://down-id.img.susercontent.com/file/b6271bd630d6edcbaf93053e10b7db1c_tn,KAB. TANGERANG,10RB+ Terjual
9,18 Varian Jepit Rambut Mutiara Korea / Hair Pin / Jepitan Rambut / Pin rambut / Pearl Hair Pin / Hair Clip ACC16,https://shopee.co.id/18-Varian-Jepit-Rambut-Mutiara-Korea-Hair-Pin-Jepitan-Rambut-Pin-rambut-Pearl-Hair-Pin-Hair-Clip-ACC16-i.80867703.15566352645?sp_atk=24e8edd9-ddc6-4b89-814d-b590dcbb0e74&xptdk=24e8edd9-ddc6-4b89-814d-b590dcbb0e74,Rp965 - Rp6.450,https://down-id.img.susercontent.com/file/59eafb749de2e2ea8101321de334cdcf_tn,KAB. BEKASI,10RB+ Terjual
