,nama,link,harga,img,kota,terjual
0,STICKER MOMO WATERPROOF ISI 100 LEMBAR PER BOX,https://shopee.co.id/STICKER-MOMO-WATERPROOF-ISI-100-LEMBAR-PER-BOX-i.413097553.21070466099?sp_atk=8c0e6a1f-1c6f-4aae-bdd8-64d5348f2f9a&xptdk=8c0e6a1f-1c6f-4aae-bdd8-64d5348f2f9a,Rp5.500 - Rp17.000,https://down-id.img.susercontent.com/file/id-11134207-7qul3-lfkneof0eloy58_tn,KOTA MEDAN,10RB+ Terjual
1,Buku Sank book Magic sank magic book Practice Book 1 Set Isi 4 Buku dan Pulpen,https://shopee.co.id/Buku-Sank-book-Magic-sank-magic-book-Practice-Book-1-Set-Isi-4-Buku-dan-Pulpen-i.102065821.20439770088?sp_atk=eb1bffe3-db58-40f3-8f23-98d889cf8bf2&xptdk=eb1bffe3-db58-40f3-8f23-98d889cf8bf2,Rp5.000 - Rp17.900,https://down-id.img.susercontent.com/file/sg-11134201-22100-uuglm81hcwiv0a_tn,KOTA JAKARTA UTARA,10RB+ Terjual
2,Crayon Set 208pcs / Crayon Mewarnai 208pcs & 150pcs Warna / Art Set Pensil Krayon Warna Alat Menggambar atau Mewarnai,https://shopee.co.id/Crayon-Set-208pcs-Crayon-Mewarnai-208pcs-150pcs-Warna-Art-Set-Pensil-Krayon-Warna-Alat-Menggambar-atau-Mewarnai-i.183912824.20310652188?sp_atk=85ae0dfb-982b-4e01-9ea0-a1e7fcee34c4&xptdk=85ae0dfb-982b-4e01-9ea0-a1e7fcee34c4,Rp37.000 - Rp63.000,https://down-id.img.susercontent.com/file/a24bdbbac20abce60dc70e230ae7e481_tn,KOTA JAKARTA BARAT,10RB+ Terjual
3,Pensil Abadi Eternal Tidak Bisa Habis Infinite Pencil Pensil Ajaib,https://shopee.co.id/Pensil-Abadi-Eternal-Tidak-Bisa-Habis-Infinite-Pencil-Pensil-Ajaib-i.76620705.23708178397?sp_atk=ecab755a-72f8-4e6a-8548-b2ea88cb61e0&xptdk=ecab755a-72f8-4e6a-8548-b2ea88cb61e0,Rp600 - Rp2.400,https://down-id.img.susercontent.com/file/sg-11134201-22110-ochrqkrn5gkv07_tn,KOTA JAKARTA PUSAT,10RB+ Terjual
4,A7  Rollover Coil Buku  Mini Notebook Kartun Lucu Mini Notebook Diary Portable Notebook Journal Alat Tulis-Le,https://shopee.co.id/A7-Rollover-Coil-Buku-Mini-Notebook-Kartun-Lucu-Mini-Notebook-Diary-Portable-Notebook-Journal-Alat-Tulis-Le-i.619201957.19935203522?sp_atk=e32d9ebf-a5c4-46f2-8db8-2ea0095b1012&xptdk=e32d9ebf-a5c4-46f2-8db8-2ea0095b1012,Rp1.299 - Rp5.599,https://down-id.img.susercontent.com/file/sg-11134201-22100-yl1leolwf2iv31_tn,KAB. TANGERANG,10RB+ Terjual
5,TEMPAT PENSIL KOTAK PENSIL GAMBAR 3D ANAK TA099,https://shopee.co.id/TEMPAT-PENSIL-KOTAK-PENSIL-GAMBAR-3D-ANAK-TA099-i.11169331.20211303397?sp_atk=65237bae-725c-405e-ac8f-966e368a49ab&xptdk=65237bae-725c-405e-ac8f-966e368a49ab,Rp14.126 - Rp17.500,https://down-id.img.susercontent.com/file/ec2a46df48a3a3c7c2335be4890b4b56_tn,KOTA TANGERANG,10RB+ Terjual
6,HIGH QUALITY Crayon Lab Non Toxic Crayon Triangular Crayon Lab Triangle Crayon Plastik Anti Kotor Tangan,https://shopee.co.id/HIGH-QUALITY-Crayon-Lab-Non-Toxic-Crayon-Triangular-Crayon-Lab-Triangle-Crayon-Plastik-Anti-Kotor-Tangan-i.448789800.21163421327?sp_atk=a7eb44b7-d127-4416-8995-0db7a6ea9af6&xptdk=a7eb44b7-d127-4416-8995-0db7a6ea9af6,Rp11.500 - Rp32.000,https://down-id.img.susercontent.com/file/sg-11134201-22110-jwctg0ixg3jv1f_tn,KOTA JAKARTA UTARA,"8,6RB Terjual"
7,ALQURAN CUSTOM NAMA UKURAN A6/TERJEMAH,https://shopee.co.id/ALQURAN-CUSTOM-NAMA-UKURAN-A6-TERJEMAH-i.137623668.13597531884?sp_atk=efe6f8c6-8656-42d6-9c71-59ad5d3a8ef5&xptdk=efe6f8c6-8656-42d6-9c71-59ad5d3a8ef5,Rp40.000 - Rp42.400,https://down-id.img.susercontent.com/file/id-11134207-7qul3-lg2r7sm3j06m63_tn,KOTA SURABAYA,10RB+ Terjual
8,NG 100 Lembar Stiker Motif Kartun Korea Lucu Anti Air Dekorasi Handbook Scrapbook DIY,https://shopee.co.id/NG-100-Lembar-Stiker-Motif-Kartun-Korea-Lucu-Anti-Air-Dekorasi-Handbook-Scrapbook-DIY-i.93667939.19467176773?sp_atk=ff64edc3-4e64-476e-be77-9282cfdf189e&xptdk=ff64edc3-4e64-476e-be77-9282cfdf189e,Rp13.500,https://down-id.img.susercontent.com/file/sg-11134201-22120-83h995j1trkv42_tn,KOTA JAKARTA BARAT,10RB+ Terjual
9,ID CARD HOLDER MOTIF KAWAII ASTRONOUT TEMPAT KARTU BEBEK BUNGA,https://shopee.co.id/ID-CARD-HOLDER-MOTIF-KAWAII-ASTRONOUT-TEMPAT-KARTU-BEBEK-BUNGA-i.134419494.19607363809?sp_atk=55997648-6ef9-405a-9589-cb35f65cf8af&xptdk=55997648-6ef9-405a-9589-cb35f65cf8af,Rp13.388,https://down-id.img.susercontent.com/file/2b282542f9eb3f58dd347dd5d141a919_tn,KOTA JAKARTA BARAT,10RB+ Terjual
10,Smilepea 208pcs Crayon Mewarnai Pensil Krayon Warna Alat Menggambar atau Mewarnai,https://shopee.co.id/Smilepea-208pcs-Crayon-Mewarnai-Pensil-Krayon-Warna-Alat-Menggambar-atau-Mewarnai-i.414845803.15187532385?sp_atk=5d53fef2-5a98-43d9-b421-6933183dc6f2&xptdk=5d53fef2-5a98-43d9-b421-6933183dc6f2,Rp35.000,https://down-id.img.susercontent.com/file/id-11134207-7qul6-ljpfd0m6rxpjc1_tn,KOTA JAKARTA UTARA,10RB+ Terjual
11,obral buku anak tk /paud 60 jam pintar baca tanpa dieja edisi terbaru  foul colour,https://shopee.co.id/obral-buku-anak-tk-paud-60-jam-pintar-baca-tanpa-dieja-edisi-terbaru-foul-colour-i.138167513.15122274874?sp_atk=759a9703-281f-42fb-b6d3-2517ed19a857&xptdk=759a9703-281f-42fb-b6d3-2517ed19a857,Rp18.000,https://down-id.img.susercontent.com/file/c990a7cb80b84bc8aefea81a5bf04024_tn,KOTA JAKARTA PUSAT,10RB+ Terjual
12,Stiker Motif Kartun Korea Lucu Anti Air 1 box 100lbr /Dekorasi Handbook Scrapbook DIY/Stiker kartun tahan air PET,https://shopee.co.id/Stiker-Motif-Kartun-Korea-Lucu-Anti-Air-1-box-100lbr-Dekorasi-Handbook-Scrapbook-DIY-Stiker-kartun-tahan-air-PET-i.448789800.21444394007?sp_atk=644e8f6c-07f8-415a-9179-6d04198cc78d&xptdk=644e8f6c-07f8-415a-9179-6d04198cc78d,Rp9.500 - Rp16.000,https://down-id.img.susercontent.com/file/sg-11134201-23020-brw5n2eog8mv1d_tn,KOTA JAKARTA UTARA,10RB+ Terjual
13,Lem G Korea Kualitas Super / Perekat Power Glue Cair / Lem Super Besi Tetes Serbaguna,https://shopee.co.id/Lem-G-Korea-Kualitas-Super-Perekat-Power-Glue-Cair-Lem-Super-Besi-Tetes-Serbaguna-i.513639425.20806590242?sp_atk=90402579-99b3-4add-b3c3-c7cd2c48adad&xptdk=90402579-99b3-4add-b3c3-c7cd2c48adad,Rp2.950,https://down-id.img.susercontent.com/file/599f1d338db66b541e94bf1399c5da28_tn,KOTA JAKARTA UTARA,10RB+ Terjual
14,COD Art Full Set 150Pcs / 208Pcs / Krayon Mewarnai Anak Pensil Warna Perlengkapan Mewarnai Lukis P49 P53,https://shopee.co.id/COD-Art-Full-Set-150Pcs-208Pcs-Krayon-Mewarnai-Anak-Pensil-Warna-Perlengkapan-Mewarnai-Lukis-P49-P53-i.223379931.23911049937?sp_atk=dcc94a7c-f957-49a4-ba68-46c492e81d1d&xptdk=dcc94a7c-f957-49a4-ba68-46c492e81d1d,Rp35.800 - Rp58.000,https://down-id.img.susercontent.com/file/sg-11134201-22120-1yzywwi3z3kvb1_tn,KOTA JAKARTA UTARA,10RB+ Terjual
15,Pulpen PELNA 01 (12pcs),https://shopee.co.id/Pulpen-PELNA-01-(12pcs)-i.28137092.23902503292?sp_atk=3acfb4a9-a9b8-469b-8bf0-666f8f4edcce&xptdk=3acfb4a9-a9b8-469b-8bf0-666f8f4edcce,Rp4.850,https://down-id.img.susercontent.com/file/sg-11134201-22120-y7pcb1u2avkvcd_tn,KOTA JAKARTA BARAT,10RB+ Terjual
16,Notebook / Diary Book / Sketch Book / Journal Book - Ukuran A6 (100 Halaman / 50 Lembar),https://shopee.co.id/Notebook-Diary-Book-Sketch-Book-Journal-Book-Ukuran-A6-(100-Halaman-50-Lembar)-i.104323262.18203383551?sp_atk=e9df9dcf-4dbf-4ed0-b260-de72531c62e2&xptdk=e9df9dcf-4dbf-4ed0-b260-de72531c62e2,Rp5.499,https://down-id.img.susercontent.com/file/be7f12e98facfc91296770a02288790f_tn,KOTA TANGERANG,10RB+ Terjual
17,Novel Romantis / Novel Wattpad / Buku Obral / DLL,https://shopee.co.id/Novel-Romantis-Novel-Wattpad-Buku-Obral-DLL-i.369449146.21252634433?sp_atk=545dbd8b-6577-4331-a071-ad36e2821f01&xptdk=545dbd8b-6577-4331-a071-ad36e2821f01,Rp13.000 - Rp19.500,https://down-id.img.susercontent.com/file/sg-11134201-23010-p0gv3bluokmva6_tn,KAB. BEKASI,10RB+ Terjual
18,Crayon Pensil Warna Art Set Pensil Warna Crayon,https://shopee.co.id/Crayon-Pensil-Warna-Art-Set-Pensil-Warna-Crayon-i.10466663.23115293111?sp_atk=70d22502-0766-49d4-8c65-a3fc3140d13e&xptdk=70d22502-0766-49d4-8c65-a3fc3140d13e,Rp11.500 - Rp52.500,https://down-id.img.susercontent.com/file/sg-11134201-22120-1pbkb7qh5olv6b_tn,KOTA JAKARTA UTARA,10RB+ Terjual
19,COD 6PCS PULPEN GEL MEKANIK 0.5MM / BALLPOINT MEKANIK FS,https://shopee.co.id/COD-6PCS-PULPEN-GEL-MEKANIK-0.5MM-BALLPOINT-MEKANIK-FS-i.164543812.5216152356?sp_atk=9add9ecf-7591-469c-91e5-4b0e726ebee2&xptdk=9add9ecf-7591-469c-91e5-4b0e726ebee2,Rp3.000 - Rp16.000,https://down-id.img.susercontent.com/file/a99a7d5ff5e836d1d27e0d197755b717_tn,KOTA JAKARTA PUSAT,10RB+ Terjual
20,Stiker 2D 100 Lembar Sticker Momo Kartun Korea Lucu Anti Air,https://shopee.co.id/Stiker-2D-100-Lembar-Sticker-Momo-Kartun-Korea-Lucu-Anti-Air-i.640784227.23720006982?sp_atk=681d9eb2-de03-4e10-9608-29448ae4eed6&xptdk=681d9eb2-de03-4e10-9608-29448ae4eed6,Rp5.875 - Rp19.950,https://down-id.img.susercontent.com/file/sg-11134201-23010-jtb5depvgqmv6f_tn,KOTA JAKARTA UTARA,10RB+ Terjual
21,Buku Ajaib Belajar Menulis Anak / Latihan Menghitung Menggambar Tulis Huruf Dan Angka / Sank Magic Practice Writing Book / 1 Set Buku Isi 4 + Pulpen Buku Prasekolah Paud TK / Edukasi Hadiah Kado Ulang Tahun Anak Reuseable Alphabet Math Drawing Number,https://shopee.co.id/Buku-Ajaib-Belajar-Menulis-Anak-Latihan-Menghitung-Menggambar-Tulis-Huruf-Dan-Angka-Sank-Magic-Practice-Writing-Book-1-Set-Buku-Isi-4-Pulpen-Buku-Prasekolah-Paud-TK-Edukasi-Hadiah-Kado-Ulang-Tahun-Anak-Reuseable-Alphabet-Math-Drawing-Number-i.31169310.18965696727?sp_atk=20cda530-c095-4ac7-83a5-a8ce6dcaa755&xptdk=20cda530-c095-4ac7-83a5-a8ce6dcaa755,Rp13.750,https://down-id.img.susercontent.com/file/sg-11134201-23010-ssyujbaamrmvfe_tn,KOTA JAKARTA SELATAN,10RB+ Terjual
22,Crayon Set 150 Pcs 208 Pcs Alat Pensil Warna / Alat Krayon Menggambar Melukis Anak,https://shopee.co.id/Crayon-Set-150-Pcs-208-Pcs-Alat-Pensil-Warna-Alat-Krayon-Menggambar-Melukis-Anak-i.303646716.20624917294?sp_atk=a35d5b79-f3e3-4348-8677-e14926270283&xptdk=a35d5b79-f3e3-4348-8677-e14926270283,Rp57.999,https://down-id.img.susercontent.com/file/id-11134207-23030-sktl0gxojpovaa_tn,KOTA TANGERANG,6RB Terjual
23,HaiWai COD Pulpen Gel 0.5mm Bolpen Pena Pen Alat Tulis Gel Tebal 0.5 MM Pena Cair MURAH U09,https://shopee.co.id/HaiWai-COD-Pulpen-Gel-0.5mm-Bolpen-Pena-Pen-Alat-Tulis-Gel-Tebal-0.5-MM-Pena-Cair-MURAH-U09-i.331105653.6264769310?sp_atk=e8ef93e6-c26a-4804-abd6-f9053dea6c51&xptdk=e8ef93e6-c26a-4804-abd6-f9053dea6c51,Rp130 - Rp415,https://down-id.img.susercontent.com/file/68ff0b25d51263fc0c25d35ca904efb6_tn,KAB. TANGERANG,10RB+ Terjual
24,MALL - Sticker Thankyou 1Roll (500Pcs) Label Segel Order Packing Motif Bunga Love Serbaguna STC01,https://shopee.co.id/MALL-Sticker-Thankyou-1Roll-(500Pcs)-Label-Segel-Order-Packing-Motif-Bunga-Love-Serbaguna-STC01-i.406505714.16558032011?sp_atk=8bd4f179-1c46-4785-8dd6-b6db0ed1756b&xptdk=8bd4f179-1c46-4785-8dd6-b6db0ed1756b,Rp6.175 - Rp6.500,https://down-id.img.susercontent.com/file/67c3a5646a19a3c457570f9dde1f00f8_tn,KOTA JAKARTA SELATAN,10RB+ Terjual
25,Novel Romantis / Wattpad / Buku Novel / DLL [pelajar],https://shopee.co.id/Novel-Romantis-Wattpad-Buku-Novel-DLL-pelajar--i.644516341.21571012235?sp_atk=f27a7f3e-6ea7-4e8d-99ee-fb08d7f499a8&xptdk=f27a7f3e-6ea7-4e8d-99ee-fb08d7f499a8,Rp11.700 - Rp19.500,https://down-id.img.susercontent.com/file/sg-11134201-23010-7zg8gm0p56lv89_tn,KOTA SURAKARTA (SOLO),10RB+ Terjual
26,Name Tag ID Card Kulit Holder Lanyard Name Tag ID Card Kulit NTS035 Muat 2 Slot Kartu Termurah,https://shopee.co.id/Name-Tag-ID-Card-Kulit-Holder-Lanyard-Name-Tag-ID-Card-Kulit-NTS035-Muat-2-Slot-Kartu-Termurah-i.11411039.22711713555?sp_atk=68ea7463-4a8b-4d73-8f77-9e170404e72d&xptdk=68ea7463-4a8b-4d73-8f77-9e170404e72d,Rp12.223 - Rp16.000,https://down-id.img.susercontent.com/file/id-11134201-7quky-lep9s2qpn6qr6b_tn,KAB. MALANG,10RB+ Terjual
27,Gel Pen Pulpen Pena Joyko GP-265 Q Gel 0.5 mm,https://shopee.co.id/Gel-Pen-Pulpen-Pena-Joyko-GP-265-Q-Gel-0.5-mm-i.64925304.1645255982?sp_atk=b19e0c97-91f9-4ab3-9c83-4c96b42e7345&xptdk=b19e0c97-91f9-4ab3-9c83-4c96b42e7345,Rp1.360 - Rp2.750,https://down-id.img.susercontent.com/file/sg-11134201-22100-id8wn1wgoaiv18_tn,KOTA JAKARTA UTARA,10RB+ Terjual
28,ATM.Medan Notebook Spiral Cantik A5 - Harga per 1pcs,https://shopee.co.id/ATM.Medan-Notebook-Spiral-Cantik-A5-Harga-per-1pcs-i.69381972.2772337104?sp_atk=a1d6c307-26e7-47bf-a086-b297c6940f94&xptdk=a1d6c307-26e7-47bf-a086-b297c6940f94,Rp9.500 - Rp9.999,https://down-id.img.susercontent.com/file/1e6865d090b8b32ba713542d8b324cca_tn,KOTA MEDAN,10RB+ Terjual
29,「Skylo🇲🇨」Sank Magic Book 4 Buku/Set Magic Practice Book Original,https://shopee.co.id/「Skylo🇲🇨」Sank-Magic-Book-4-Buku-Set-Magic-Practice-Book-Original-i.490814321.21658934351?sp_atk=c489d8f0-81b9-4db5-b53b-b265214fa11d&xptdk=c489d8f0-81b9-4db5-b53b-b265214fa11d,Rp13.555,https://down-id.img.susercontent.com/file/sg-11134201-22100-0ejpsguxtajv37_tn,KOTA SURABAYA,10RB+ Terjual
30,Kalkulator CITIZEN 12 Digit - Calculator Check Dual Two 2 Power,https://shopee.co.id/Kalkulator-CITIZEN-12-Digit-Calculator-Check-Dual-Two-2-Power-i.324039127.3662772682?sp_atk=2bd140c9-3303-4a52-9b98-bd018bb93281&xptdk=2bd140c9-3303-4a52-9b98-bd018bb93281,Rp21.000 - Rp75.000,https://down-id.img.susercontent.com/file/7c089427c01eccc9cfff7ebca6eb029d_tn,KOTA JAKARTA BARAT,10RB+ Terjual
31,Pulpen Gel Hapus Karakter Animal isi 12 pcs / Pulpen Erasable / Bolpoin Tinta Bisa Di Hapus Alat Tulis Sekolah,https://shopee.co.id/Pulpen-Gel-Hapus-Karakter-Animal-isi-12-pcs-Pulpen-Erasable-Bolpoin-Tinta-Bisa-Di-Hapus-Alat-Tulis-Sekolah-i.448789800.19455588897?sp_atk=b3b25549-68cd-4e6d-b4f2-42053a616c7f&xptdk=b3b25549-68cd-4e6d-b4f2-42053a616c7f,Rp8.600 - Rp24.500,https://down-id.img.susercontent.com/file/sg-11134201-23010-76s0axux4ulv52_tn,KOTA JAKARTA UTARA,"6,3RB Terjual"
32,Stiker 2D Momo 25 PCS Aesthetic Cute waterproof,https://shopee.co.id/Stiker-2D-Momo-25-PCS-Aesthetic-Cute-waterproof-i.330017525.23801320148?sp_atk=9f6be0a9-6648-45f4-9742-d43b3b136f5f&xptdk=9f6be0a9-6648-45f4-9742-d43b3b136f5f,Rp3.650 - Rp4.000,https://down-id.img.susercontent.com/file/sg-11134201-22100-1kiywuw65vivd6_tn,KOTA SURABAYA,10RB+ Terjual
33,[Ready Stok] Buku Majmu' Syarif Eksklusif - Sahida Qolbu Tangga (Batik Merah & Hijau),https://shopee.co.id/-Ready-Stok-Buku-Majmu'-Syarif-Eksklusif-Sahida-Qolbu-Tangga-(Batik-Merah-Hijau)-i.33727432.18835940029?sp_atk=68139938-62b8-426e-99ee-d641e77450ae&xptdk=68139938-62b8-426e-99ee-d641e77450ae,Rp58.500 - Rp77.500,https://down-id.img.susercontent.com/file/9ad0a543f4b08fdbd78a99bf5dfedd9d_tn,KAB. BOGOR,10RB+ Terjual
34,KP101 - TEMPAT PENSIL ANAK PEREMPUAN MURAH KOTAK PENSIL ANAK PEREMPUAN GAMBAR 3D ANAK KOTAK PENSIL ANAK ANAK,https://shopee.co.id/KP101-TEMPAT-PENSIL-ANAK-PEREMPUAN-MURAH-KOTAK-PENSIL-ANAK-PEREMPUAN-GAMBAR-3D-ANAK-KOTAK-PENSIL-ANAK-ANAK-i.111921366.23505670617?sp_atk=732b91b1-8906-47c2-9f9d-4940a16a6807&xptdk=732b91b1-8906-47c2-9f9d-4940a16a6807,Rp18.998 - Rp19.999,https://down-id.img.susercontent.com/file/sg-11134201-22110-qs0rqgvucyjv98_tn,KOTA JAKARTA BARAT,10RB+ Terjual
35,Color Gel pen with Premium Colors / Pulpen Gel dengan warna premium 17 warna 0.5 mm,https://shopee.co.id/Color-Gel-pen-with-Premium-Colors-Pulpen-Gel-dengan-warna-premium-17-warna-0.5-mm-i.20455037.15912341509?sp_atk=5e482b53-228e-4413-b2da-950f5bf0b960&xptdk=5e482b53-228e-4413-b2da-950f5bf0b960,Rp1.000 - Rp2.000,https://down-id.img.susercontent.com/file/58dac6da21196d2f87b3d3ba855cdfb7_tn,KOTA SEMARANG,10RB+ Terjual
36,A7 cute mini coil notebook high-value 2023 girly notepad portable portable small diary,https://shopee.co.id/A7-cute-mini-coil-notebook-high-value-2023-girly-notepad-portable-portable-small-diary-i.666409724.18368201635?sp_atk=c58e8658-31a4-44e4-ab32-2cab33076f1e&xptdk=c58e8658-31a4-44e4-ab32-2cab33076f1e,Rp2.880 - Rp4.050,https://down-id.img.susercontent.com/file/id-11134207-7r98o-lknyfheym9ed52_tn,KOTA JAKARTA UTARA,10RB+ Terjual
