,nama,link,harga,img,kota,terjual
0,"PANCI PRESTO 3,5L TEFLON",https://shopee.co.id/PANCI-PRESTO-3-5L-TEFLON-i.323047288.19137193916?sp_atk=9e55d3ef-4375-4757-bf6b-cab34931b537&xptdk=9e55d3ef-4375-4757-bf6b-cab34931b537,Rp45.499 - Rp67.999,https://down-id.img.susercontent.com/file/sg-11134201-22120-k3b7nsqof7kv73_tn,KOTA JAKARTA BARAT,10RB+ Terjual
1,Paket Lampu Neon Flex 220v 1m 2m 3m 4m 5m 5 meter Led Selang Fleksibel 220v Warna Neon Box Outdoor ip65 Huruf DIY 220v strip,https://shopee.co.id/Paket-Lampu-Neon-Flex-220v-1m-2m-3m-4m-5m-5-meter-Led-Selang-Fleksibel-220v-Warna-Neon-Box-Outdoor-ip65-Huruf-DIY-220v-strip-i.158802250.18809805843?sp_atk=685e4c0e-97ad-41da-944b-b12e0cba03e8&xptdk=685e4c0e-97ad-41da-944b-b12e0cba03e8,Rp50 - Rp56.500,https://down-id.img.susercontent.com/file/3ab513805adb81fa232c4cd1976243a1_tn,KOTA SURABAYA,10RB+ Terjual
2,CCTV Lampu V380 Pro 8MP Kamera CCTV Wifi Lampu CCTV 360 PTZ,https://shopee.co.id/CCTV-Lampu-V380-Pro-8MP-Kamera-CCTV-Wifi-Lampu-CCTV-360-PTZ-i.116287057.17985686421?sp_atk=1d071d08-de62-4a06-baea-37439b58cda5&xptdk=1d071d08-de62-4a06-baea-37439b58cda5,Rp20.000 - Rp138.500,https://down-id.img.susercontent.com/file/b4fc01c77eaf2c73a2304c6c4c783c3c_tn,KOTA JAKARTA PUSAT,10RB+ Terjual
3,STOP KONTAK + KABEL 2/3/4/5 LUBANG 1.5/3/5/10 METER SNI,https://shopee.co.id/STOP-KONTAK-KABEL-2-3-4-5-LUBANG-1.5-3-5-10-METER-SNI-i.43229082.11129631688?sp_atk=88353b5e-0aa4-4863-8a05-981aaaaa1165&xptdk=88353b5e-0aa4-4863-8a05-981aaaaa1165,Rp10.133 - Rp32.999,https://down-id.img.susercontent.com/file/bebe4996dcf321e861f77edfbaef0909_tn,KOTA JAKARTA UTARA,10RB+ Terjual
4,USB Bluettooh Receiver CK-02 Wireless mobil dvd laptop hp handset,https://shopee.co.id/USB-Bluettooh-Receiver-CK-02-Wireless-mobil-dvd-laptop-hp-handset-i.521549913.20906229119?sp_atk=8fe957f2-3b68-47de-80f2-8520067556e3&xptdk=8fe957f2-3b68-47de-80f2-8520067556e3,Rp6.850,https://down-id.img.susercontent.com/file/cb098d809f8ce12d7e5ac25d865a51ed_tn,KOTA SURABAYA,10RB+ Terjual
5,Lampu Philips Lampu LED Philips 8W 10W 12W 14.5 Watt Multipack Lampu led rumah Led Bulb 230V 6500K Putih 1Pcs/2Pcs/4Pcs,https://shopee.co.id/Lampu-Philips-Lampu-LED-Philips-8W-10W-12W-14.5-Watt-Multipack-Lampu-led-rumah-Led-Bulb-230V-6500K-Putih-1Pcs-2Pcs-4Pcs-i.447487141.9757754430?sp_atk=d6621954-d816-49fc-8b53-8a5624493046&xptdk=d6621954-d816-49fc-8b53-8a5624493046,Rp43.150 - Rp132.000,https://down-id.img.susercontent.com/file/5cc8521520f68b2493947bba6d5f8ac0_tn,KOTA JAKARTA PUSAT,10RB+ Terjual
6,Teko Listrik Scarlett 2 liter / Electric heat Kettle 2L - Pemanas Air,https://shopee.co.id/Teko-Listrik-Scarlett-2-liter-Electric-heat-Kettle-2L-Pemanas-Air-i.373029331.17378104403?sp_atk=f1c75666-f219-4994-8d16-4b7ef879eaa9&xptdk=f1c75666-f219-4994-8d16-4b7ef879eaa9,Rp49.115,https://down-id.img.susercontent.com/file/sg-11134201-22100-kgcmywem2civa4_tn,KOTA JAKARTA BARAT,10RB+ Terjual
7,Paket Charger Baterai 6 slot AA/AAA Bonus 6 PCS AA Battery,https://shopee.co.id/Paket-Charger-Baterai-6-slot-AA-AAA-Bonus-6-PCS-AA-Battery-i.17230439.11730297035?sp_atk=621656d2-c64c-4d55-b86b-b2f82a5a4ce6&xptdk=621656d2-c64c-4d55-b86b-b2f82a5a4ce6,Rp18.000 - Rp115.000,https://down-id.img.susercontent.com/file/b5d3112e839dd64e2560a83a6339d9cb_tn,KOTA JAKARTA SELATAN,10RB+ Terjual
8,Kipas mini led tangan usb portable charger / mini fan l3d light / kipas mini doraemon hello kitty,https://shopee.co.id/Kipas-mini-led-tangan-usb-portable-charger-mini-fan-l3d-light-kipas-mini-doraemon-hello-kitty-i.102839167.1735446521?sp_atk=2116d71d-1479-46d4-9f8a-6d86cd50c716&xptdk=2116d71d-1479-46d4-9f8a-6d86cd50c716,Rp17.175 - Rp70.000,https://down-id.img.susercontent.com/file/9d0c410addbbbf7f94c64c8000cddc93_tn,KOTA JAKARTA PUSAT,10RB+ Terjual
9,LED Strip RGB Anti Air Lengkap Adaptor + Remote,https://shopee.co.id/LED-Strip-RGB-Anti-Air-Lengkap-Adaptor-Remote-i.296908851.21240046118?sp_atk=f9da17fe-bfb1-4bfc-a3ad-7a02683faf59&xptdk=f9da17fe-bfb1-4bfc-a3ad-7a02683faf59,Rp25.500 - Rp135.000,https://down-id.img.susercontent.com/file/ef2f87c1c5a975030155346f83495345_tn,KOTA SURABAYA,10RB+ Terjual
10,Mug listrik  /teko listrik /electric heating cup,https://shopee.co.id/Mug-listrik-teko-listrik-electric-heating-cup-i.190622985.5435826165?sp_atk=069e3b45-6148-4b02-9eea-5c13386b51be&xptdk=069e3b45-6148-4b02-9eea-5c13386b51be,Rp22.601 - Rp48.500,https://down-id.img.susercontent.com/file/d7f435c2992faf79fcc8c319e3314af6_tn,KOTA SURABAYA,10RB+ Terjual
11,SETRIKA OTOMATIS STAINLESS STEEL TD & YASAKA / YAMAKAWA  / GOSOKAN BAJU TD / STEAMER BAJU TD. S1,https://shopee.co.id/SETRIKA-OTOMATIS-STAINLESS-STEEL-TD-YASAKA-YAMAKAWA-GOSOKAN-BAJU-TD-STEAMER-BAJU-TD.-S1-i.92821059.6048625874?sp_atk=0baad138-60d8-4831-a2a1-3f9d65773b9c&xptdk=0baad138-60d8-4831-a2a1-3f9d65773b9c,Rp62.798 - Rp68.999,https://down-id.img.susercontent.com/file/9de7043850e0587e15c9be051d597c88_tn,KAB. TANGERANG,10RB+ Terjual
12,Android TV Box MXQ Pro 5G  2G+16G / Smart TV 4K Ultra HD MXQ PRO 4K 5G,https://shopee.co.id/Android-TV-Box-MXQ-Pro-5G-2G-16G-Smart-TV-4K-Ultra-HD-MXQ-PRO-4K-5G-i.174525685.4852768732?sp_atk=62ce8270-e739-4558-b922-d37279f0211f&xptdk=62ce8270-e739-4558-b922-d37279f0211f,Rp65.000 - Rp162.000,https://down-id.img.susercontent.com/file/8473f29e26f009486d271d14562d2945_tn,KOTA JAKARTA PUSAT,10RB+ Terjual
13,METERAN LAMPU LED STRIP 5050 SMD PER METER LED STRIP 5050 SMD,https://shopee.co.id/METERAN-LAMPU-LED-STRIP-5050-SMD-PER-METER-LED-STRIP-5050-SMD-i.43229082.15646001009?sp_atk=3389caae-cce5-4c1f-8dc0-214fb5a1741d&xptdk=3389caae-cce5-4c1f-8dc0-214fb5a1741d,Rp365 - Rp4.400,https://down-id.img.susercontent.com/file/07f80af8df51136bd213075ef49969e2_tn,KOTA JAKARTA UTARA,10RB+ Terjual
